§ 1910.8 OMB control numbers under the Paperwork Reduction Act.
The following sections or paragraphs each contain a collection of information requirement which has been approved by the Office of Management and Budget under the control number listed.

29 CFR citation OMB control No.
-------------------------------
1910.7 1218-0147
1910.23 1218-0199
1910.66 1218-0121
1910.67(b) 1218-0230
1910.68 1218-0226
1910.95 1218-0048
1910.111 1218-0208
1910.119 1218-0200
1910.120 1218-0202
1910.132 1218-0205
1910.134 1218-0099
1910.137 1218-0190
1910.142 1218-0096
1910.145 1218-0132
1910.146 1218-0203
1910.147 1218-0150
1910.156 1218-0075
1910.157(e)(3) 1218-0210
1910.157(f)(16) 1218-0218
1910.177(d)(3)(iv) 1218-0219
1910.179(j)(2)(iii) and (iv) 1218-0224
1910.179(m)(1) and (m)(2) 1218-0224
1910.180(d)(6) 1218-0221
1910.180(g)(1) and (g)(2)(ii) 1218-0221
1910.181(g)(1) and (g)(3) 1218-0222
1910.184(e)(4), (f)(4) and (i)(8)(ii) 1218-0223
1910.217(e)(1)(i) and (ii) 1218-0229
1910.217(g) 1218-0070
1910.217(h) 1218-0143
1910.218(a)(2)(i) and (ii) 1218-0228
1910.252(a)(2)(xiii)( c ) 1218-0207
1910.255(e) 1218-0207
1910.266 1218-0198
1910.268 1218-0225
1910.269 1218-0190
1910.272 1218-0206
1910.302 1218-0256
1910.303 1218-0256
1910.304 1218-0256
1910.305 1218-0256
1910.306 1218-0256
1910.307 1218-0256
1910.308 1218-0256
1910.420 1218-0069
1910.421 1218-0069
1910.423 1218-0069
1910.430 1218-0069
1910.440 1218-0069
1910.1001 1218-0133
1910.1003 1218-0085
1910.1004 1218-0084
1910.1006 1218-0086
1910.1007 1218-0083
1910.1008 1218-0087
1910.1009 1218-0089
1910.1010 1218-0082
1910.1011 1218-0090
1910.1012 1218-0080
1910.1013 1218-0079
1910.1014 1218-0088
1910.1015 1218-0044
1910.1016 1218-0081
1910.1017 1218-0010
1910.1018 1218-0104
1910.1020 1218-0065
1910.1025 1218-0092
1910.1026 1218-0252
1910.1027 1218-0185
1910.1028 1218-0129
1910.1029 1218-0128
1910.1030 1218-0180
1910.1043 1218-0061
1910.1044 1218-0101
1910.1045 1218-0126
1910.1047 1218-0108
1910.1048 1218-0145
1910.1050 1218-0184
1910.1051 1218-0170
1910.1052 1218-0179
1910.1053 1218-0266
1910.1096 1218-0103
1910.1200 1218-0072
1910.1450 1218-0131
